Parameter,bsUpdate,FactoryDefault,DataType,Access,SourceFile
Device.DeviceInfo.AdditionalSoftwareVersion,,,string,readOnly,data-model-stb.xml
Device.DeviceInfo.AdditionalSoftwareVersion,,,string,readOnly,data-model-tv.xml
Device.DeviceInfo.Description,,"TR-181, TR-135 and Comcast specific Datamodel Configuration",string,readOnly,data-model-stb.xml
Device.DeviceInfo.Description,,"TR-181, TR-135 and Comcast specific Datamodel Configuration",string,readOnly,data-model-tv.xml
Device.DeviceInfo.FirstUseDate,,,dateTime,readOnly,data-model-stb.xml
Device.DeviceInfo.FirstUseDate,,,dateTime,readOnly,data-model-tv.xml
Device.DeviceInfo.HardwareVersion,,,string,readOnly,data-model-stb.xml
Device.DeviceInfo.HardwareVersion,,,string,readOnly,data-model-tv.xml
Device.DeviceInfo.Manufacturer,,,string,readOnly,data-model-stb.xml
Device.DeviceInfo.Manufacturer,,,string,readOnly,data-model-tv.xml
Device.DeviceInfo.ManufacturerOUI,,,string,readOnly,data-model-stb.xml
Device.DeviceInfo.ManufacturerOUI,,,string,readOnly,data-model-tv.xml
Device.DeviceInfo.MemoryStatus.Free,,,unsignedInt,readOnly,data-model-generic.xml
Device.DeviceInfo.MemoryStatus.Total,,,unsignedInt,readOnly,data-model-generic.xml
Device.DeviceInfo.Migration.MigrationStatus,,,string,readOnly,data-model-generic.xml
Device.DeviceInfo.MigrationPreparer.MigrationReady,,,string,readOnly,data-model-generic.xml
Device.DeviceInfo.ModelName,,,string,readOnly,data-model-stb.xml
Device.DeviceInfo.ModelName,,,string,readOnly,data-model-tv.xml
Device.DeviceInfo.ProcessStatus.CPUUsage,,,unsignedInt,readOnly,data-model-generic.xml
Device.DeviceInfo.ProcessStatus.Process.{i}.CPUTime,,,unsignedInt,readOnly,data-model-generic.xml
Device.DeviceInfo.ProcessStatus.Process.{i}.Command,,,string,readOnly,data-model-generic.xml
Device.DeviceInfo.ProcessStatus.Process.{i}.PID,,,unsignedInt,readOnly,data-model-generic.xml
Device.DeviceInfo.ProcessStatus.Process.{i}.Priority,,,unsignedInt,readOnly,data-model-generic.xml
Device.DeviceInfo.ProcessStatus.Process.{i}.Size,,,unsignedInt,readOnly,data-model-generic.xml
Device.DeviceInfo.ProcessStatus.Process.{i}.State,,,string,readOnly,data-model-generic.xml
Device.DeviceInfo.ProcessStatus.ProcessNumberOfEntries,,,unsignedInt,readOnly,data-model-generic.xml
Device.DeviceInfo.Processor.{i}.Architecture,,,string,readOnly,data-model-generic.xml
Device.DeviceInfo.ProcessorNumberOfEntries,,,unsignedInt,readOnly,data-model-stb.xml
Device.DeviceInfo.ProcessorNumberOfEntries,,,unsignedInt,readOnly,data-model-tv.xml
Device.DeviceInfo.ProductClass,,,string,readOnly,data-model-stb.xml
Device.DeviceInfo.ProductClass,,,string,readOnly,data-model-tv.xml
Device.DeviceInfo.ProvisioningCode,,,string,readWrite,data-model-stb.xml
Device.DeviceInfo.ProvisioningCode,,,string,readWrite,data-model-tv.xml
Device.DeviceInfo.SerialNumber,,,string,readOnly,data-model-stb.xml
Device.DeviceInfo.SerialNumber,,,string,readOnly,data-model-tv.xml
Device.DeviceInfo.SoftwareVersion,,,string,readOnly,data-model-stb.xml
Device.DeviceInfo.SoftwareVersion,,,string,readOnly,data-model-tv.xml
Device.DeviceInfo.SupportedDataModel.1.Features,,,string,readOnly,data-model-generic.xml
Device.DeviceInfo.SupportedDataModel.1.URL,,,string,readOnly,data-model-generic.xml
Device.DeviceInfo.SupportedDataModel.1.URN,,,string,readOnly,data-model-generic.xml
Device.DeviceInfo.SupportedDataModel.2.Features,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.SupportedDataModel.2.URL,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.SupportedDataModel.2.URN,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.SupportedDataModelNumberOfEntries,,,unsignedInt,readOnly,data-model-stb.xml
Device.DeviceInfo.SupportedDataModelNumberOfEntries,,,unsignedInt,readOnly,data-model-tv.xml
Device.DeviceInfo.UpTime,,,unsignedInt,readOnly,data-model-stb.xml
Device.DeviceInfo.UpTime,,,unsignedInt,readOnly,data-model-tv.xml
Device.DeviceInfo.VendorLogFileNumberOfEntries,,,unsignedInt,readOnly,data-model-stb.xml
Device.DeviceInfo.VendorLogFileNumberOfEntries,,,unsignedInt,readOnly,data-model-tv.xml
Device.DeviceInfo.X_COMCAST-COM_FirmwareDownloadStatus,,,string,readOnly,data-model-stb.xml
Device.DeviceInfo.X_COMCAST-COM_FirmwareDownloadStatus,,,string,readOnly,data-model-tv.xml
Device.DeviceInfo.X_COMCAST-COM_FirmwareFilename,,,string,readOnly,data-model-stb.xml
Device.DeviceInfo.X_COMCAST-COM_FirmwareFilename,,,string,readOnly,data-model-tv.xml
Device.DeviceInfo.X_COMCAST-COM_FirmwareToDownload,,,string,readOnly,data-model-stb.xml
Device.DeviceInfo.X_COMCAST-COM_FirmwareToDownload,,,string,readOnly,data-model-tv.xml
Device.DeviceInfo.X_COMCAST-COM_PowerStatus,,,string,readOnly,data-model-stb.xml
Device.DeviceInfo.X_COMCAST-COM_PowerStatus,,,string,readOnly,data-model-tv.xml
Device.DeviceInfo.X_COMCAST-COM_Reset,,,string,readWrite,data-model-stb.xml
Device.DeviceInfo.X_COMCAST-COM_Reset,,,string,readWrite,data-model-tv.xml
Device.DeviceInfo.X_COMCAST-COM_STB_IP,,,string,readOnly,data-model-stb.xml
Device.DeviceInfo.X_COMCAST-COM_STB_IP,,,string,readOnly,data-model-tv.xml
Device.DeviceInfo.X_COMCAST-COM_STB_MAC,,,string,readOnly,data-model-stb.xml
Device.DeviceInfo.X_COMCAST-COM_STB_MAC,,,string,readOnly,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM.BootStatus,,,string,readOnly,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM.CPUTemp,,,int,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM.IUI.AppsVersion,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM.IUI.Version,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_BootTime,,,unsignedInt,readOnly,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_BootTime,,,unsignedInt,readOnly,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_Experience,,,string,readOnly,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_FirmwareDownloadDeferReboot,,FALSE,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_FirmwareDownloadNow,,,boolean,readWrite,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_FirmwareDownloadNow,,,boolean,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_FirmwareDownloadPercent,,,int,readOnly,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_FirmwareDownloadPercent,,,int,readOnly,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_FirmwareDownloadProtocol,,,string,readWrite,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_FirmwareDownloadProtocol,,,string,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_FirmwareDownloadStatus,,,string,readOnly,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_FirmwareDownloadStatus,,,string,readOnly,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_FirmwareDownloadURL,,,string,readWrite,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_FirmwareDownloadURL,,,string,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_FirmwareDownloadUseCodebig,,,boolean,readWrite,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_FirmwareDownloadUseCodebig,,,boolean,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_FirmwareFilename,,,string,readOnly,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_FirmwareFilename,,,string,readOnly,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_FirmwareToDownload,,,string,readWrite,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_FirmwareToDownload,,,string,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_FirmwareUpdateState,,,string,readOnly,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_FirmwareUpdateState,,,string,readOnly,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_IPRemoteSupport.Enable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_IPRemoteSupport.IPAddr,,,string,readOnly,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_IPRemoteSupport.MACAddr,,,string,readOnly,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_LastRebootReason,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_Manufacturing.UIbranding,allUpdate,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_PreferredGatewayType,,,string,readWrite,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_PreferredGatewayType,,,string,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RDKDownloadManager.DownloadStatus,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RDKDownloadManager.InstallPackage,,,string,writeOnly,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RDKVersion,,,string,readOnly,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RDKVersion,,,string,readOnly,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.AuthService.Host,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Bootstrap.Control.ClearDB,allUpdate,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Bootstrap.Control.ClearDBEnd,allUpdate,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Bootstrap.NetflixESNprefix,allUpdate,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Bootstrap.OsClass,allUpdate,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Bootstrap.PartnerName,allUpdate,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Bootstrap.PartnerProductName,allUpdate,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Bootstrap.SsrUrl,allUpdate,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Bootstrap.XconfRecoveryUrl,allUpdate,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Bootstrap.XconfUrl,allUpdate,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.ClearParam,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.CloudStore.Uri,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Control.ClearDB,,,boolean,readWrite,data-model-generic.xml
