Parameter,DataType,Access,FactoryDefault,SourceFile
Device.DeviceInfo.Description,string,readOnly,"TR-181, TR-135 and Comcast specific Datamodel Configuration",data-model-stb.xml
Device.DeviceInfo.Description,string,readOnly,"TR-181, TR-135 and Comcast specific Datamodel Configuration",data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM.IUI.AppsVersion,string,readWrite,,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM.IUI.Version,string,readWrite,,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_FirmwareDownloadDeferReboot,boolean,readWrite,false,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.DisplaySettings.AudioPort.HDMI.Enabled,boolean,readWrite,false,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.DisplaySettings.AudioPort.HDMI_ARC.Enabled,boolean,readWrite,false,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.DisplaySettings.AudioPort.SPDIF.Enabled,boolean,readWrite,false,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.DisplaySettings.AudioPort.SPEAKER.Enabled,boolean,readWrite,true,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.DynamicIUIUpdate.IUISelector,string,readWrite,,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.DynamicIUIUpdate.Pathway.Uri,string,readWrite,base64:eyJ2ZXJiIjoiUE9TVCIsInVybCI6Imh0dHBzOi8vZXh0ZXJuYWwucHdydWxlcy5za3kuY29tL3BhdGhjYXQifQ==,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AppHibernate.DelayInSecLaunchedToSuspended,unsignedInt,readWrite,30,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AppHibernate.DelayInSecResumedToSuspended,unsignedInt,readWrite,30,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AppHibernate.Enable,boolean,readWrite,false,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.BTR.DebugMode.Enable,boolean,readWrite,false,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.BTR.GamePad.Enable,boolean,readWrite,true,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.CovaticSDK.Enable,boolean,readWrite,false,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.DAB.Enable,boolean,readWrite,false,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.DHCPv6Client.Enable,boolean,readWrite,true,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.HdmiCecSink.CECVersion,string,readWrite,1.4,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.IncrementalCDL.Enable,boolean,readWrite,true,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.LaunchDarkly.EnvKeyLabel,string,readWrite,PROD,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.LnFUseXPKI.Enable,boolean,readWrite,true,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.MOCASSH.Enable,boolean,readWrite,true,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.Miracast.Enable,boolean,readWrite,true,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.NonPersistent.WebPACDL.Enable,boolean,readWrite,false,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.Power.UserInactivityNotification.TimeMinutes,unsignedInt,readWrite,15,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.RDKFirmwareUpgrader.Enable,boolean,readWrite,false,data-model-generic.xml
